Hostname                                  Interface     Status   Description                             Optics              Serial
BORM-IPB-P-RT-01_a.txt                    |ge-11/2/8     |Down     |                                        |X                   |X
BORM-IPB-P-RT-01_a.txt                    |ge-11/2/9     |Down     |                                        |X                   |X
BORM-IPB-P-RT-01_a.txt                    |ge-11/3/0     |Down     |                                        |X                   |X
BORM-IPB-P-RT-01_a.txt                    |ge-11/3/1     |Down     |                                        |X                   |X
BORM-IPB-P-RT-01_a.txt                    |ge-11/3/2     |Up       |SKT2_PE-RT-05                           |X                   |X
BORM-IPB-P-RT-01_a.txt                    |ge-11/3/3     |Down     |                                        |SFP-SX              |PLG4ANV
BORM-IPB-P-RT-01_a.txt                    |ge-11/3/4     |Down     |BORM-IPB-PROBE-L2SW-01_OLD              |SFP-SX              |PLG41CY
BORM-IPB-P-RT-01_a.txt                    |ge-11/3/5     |Down     |                                        |X                   |X
BORM-IPB-P-RT-01_a.txt                    |ge-11/3/6     |Down     |                                        |SFP-SX              |PLG4AX6
BORM-IPB-P-RT-01_a.txt                    |ge-11/3/7     |Down     |                                        |X                   |X
BORM-IPB-P-RT-01_a.txt                    |ge-11/3/8     |Down     |                                        |SFP-SX              |PLG4EPH
BORM-IPB-P-RT-01_a.txt                    |ge-11/3/9     |Down     |                                        |SFP-SX              |PLG6KYD
BORM-IPB-P-RT-02_a.txt                    |xe-0/0/0      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-02_a.txt                    |xe-0/0/1      |Up       |BORM-IPB_CORE-RT-01-10GE6/0/23          |SFP+-10G-LR         |JC22016239
BORM-IPB-P-RT-02_a.txt                    |xe-0/0/2      |Up       |BORM-IPB_CORE-RT-02-10GE6/0/23          |SFP+-10G-LR         |JC22019849
BORM-IPB-P-RT-02_a.txt                    |xe-0/0/3      |Up       |BORM-IPB_CORE-RT-02-10GE7/0/22          |SFP+-10G-LR         |JC22022072
BORM-IPB-P-RT-02_a.txt                    |xe-0/1/0      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-02_a.txt                    |xe-0/1/1      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-02_a.txt                    |xe-0/1/2      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-02_a.txt                    |xe-0/1/3      |Up       |SNSU-IPB_P-RT-01-xe-4/2/1_B24X05586     |SFP+-10G-LR         |JC22022874
BORM-IPB-P-RT-02_a.txt                    |xe-0/2/0      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-02_a.txt                    |xe-0/2/1      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-02_a.txt                    |xe-0/2/2      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-02_a.txt                    |xe-0/2/3      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-02_a.txt                    |xe-0/3/0      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-02_a.txt                    |xe-0/3/1      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-02_a.txt                    |xe-0/3/2      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-02_a.txt                    |xe-0/3/3      |Down     |NONE                                    |X                   |X
BORM-IPB-P-RT-02_a.txt                    |xe-1/0/0      |Down     |NONE                                    |XFP-10G-LR          |UKE0317
BORM-IPB-P-RT-02_a.txt                    |xe-1/1/0      |Up       |SNSU-IPB_P-RT-03-xe-9/3/2_B11X00914     |XFP-10G-LR          |UKG03HY
BORM-IPB-P-RT-02_a.txt                    |xe-1/2/0      |Up       |BORM-IPB_PE-RT-03-Te0/5/0/6             |XFP-10G-SR          |22T805000717
BORM-IPB-P-RT-02_a.txt                    |xe-1/3/0      |Up       |BORM-IPB_PE-RT-04-Te0/1/0/3             |XFP-10G-SR          |AD1144M00F0
BORM-IPB-P-RT-02_a.txt                    |xe-2/0/0      |Up       |SNSU-IPB_P-RT-01-xe-10/0/1_B11X00766    |XFP-10G-LR          |UKG03RE
BORM-IPB-P-RT-02_a.txt                    |xe-2/1/0      |Up       |SNSU-IPB_P-RT-01-xe-7/0/1_B11X03353     |XFP-10G-LR          |UKF074J
BORM-IPB-P-RT-02_a.txt                    |xe-2/2/0      |Up       |BORM-IPB_PE-RT-03-Te0/1/0/3             |XFP-10G-SR          |AD1144M00L2
BORM-IPB-P-RT-02_a.txt                    |xe-2/3/0      |Up       |BORM-IPB_PE-RT-03-Te0/4/0/4             |XFP-10G-SR          |AD1144M00G6
BORM-IPB-P-RT-02_a.txt                    |xe-3/0/0      |Up       |SNSU-IPB_P-RT-01-xe-5/1/2_B11X03422     |SFP+-10G-LR         |AV90J5K
BORM-IPB-P-RT-02_a.txt                    |xe-3/0/1      |Up       |BORM-IPB_PE-RT-03-Te0/4/0/5             |SFP+-10G-SR         |MVJ15FR
BORM-IPB-P-RT-02_a.txt                    |xe-3/0/2      |Up       |BORM-IPB_PE-RT-04-Te0/4/0/5             |SFP+-10G-SR         |MVJ15VJ
BORM-IPB-P-RT-02_a.txt                    |xe-3/0/3      |Up       |BORM-IPB_PE-RT-03-Te0/1/0/18            |SFP+-10G-SR         |ARG2V2H
